hidden_size,prune_ratio,dataset_complexity,accuracy_drop
16,0.2,0.1,9.999999999998899e-05
16,0.2,0.3,0.0
16,0.2,0.5,0.0
16,0.2,0.7,0.0008000000000000229
16,0.2,1.0,0.00039999999999995595
16,0.4,0.1,0.0
16,0.4,0.3,0.00029999999999996696
16,0.4,0.5,0.0018000000000000238
16,0.4,0.7,0.0012999999999999678
16,0.4,1.0,0.0008999999999999009
16,0.6,0.1,0.005299999999999971
16,0.6,0.3,0.0009000000000000119
16,0.6,0.5,0.0025000000000000577
16,0.6,0.7,0.0041999999999999815
16,0.6,1.0,0.0
16,0.8,0.1,0.0046999999999999265
16,0.8,0.3,0.01100000000000001
16,0.8,0.5,0.0121
16,0.8,0.7,0.02070000000000005
16,0.8,1.0,0.015199999999999991
16,0.9,0.1,0.0341999999999999
16,0.9,0.3,0.047599999999999976
16,0.9,0.5,0.03269999999999995
16,0.9,0.7,0.04809999999999992
16,0.9,1.0,0.04820000000000002
32,0.2,0.1,9.999999999998899e-05
32,0.2,0.3,0.00040000000000006697
32,0.2,0.5,0.00029999999999996696
32,0.2,0.7,0.0
32,0.2,1.0,0.000200000000000089
32,0.4,0.1,0.0
32,0.4,0.3,0.0
32,0.4,0.5,0.0
32,0.4,0.7,0.0
32,0.4,1.0,0.0
32,0.6,0.1,0.0013999999999999568
32,0.6,0.3,0.0037000000000000366
32,0.6,0.5,0.0034999999999999476
32,0.6,0.7,0.0009000000000000119
32,0.6,1.0,0.0016000000000000458
32,0.8,0.1,0.007799999999999918
32,0.8,0.3,0.00649999999999995
32,0.8,0.5,0.005099999999999993
32,0.8,0.7,0.012800000000000034
32,0.8,1.0,0.007600000000000051
32,0.9,0.1,0.024700000000000055
32,0.9,0.3,0.030200000000000005
32,0.9,0.5,0.03589999999999993
32,0.9,0.7,0.06920000000000004
32,0.9,1.0,0.05069999999999997
64,0.2,0.1,0.0013999999999999568
64,0.2,0.3,0.0
64,0.2,0.5,0.00019999999999997797
64,0.2,0.7,0.0
64,0.2,1.0,9.999999999998899e-05
64,0.4,0.1,0.0
64,0.4,0.3,0.0005999999999999339
64,0.4,0.5,0.0015000000000000568
64,0.4,0.7,0.0006999999999999229
64,0.4,1.0,0.0004999999999999449
64,0.6,0.1,0.0028000000000000247
64,0.6,0.3,0.0030000000000000027
64,0.6,0.5,0.0019000000000000128
64,0.6,0.7,0.00040000000000006697
64,0.6,1.0,0.0016000000000000458
64,0.8,0.1,0.005199999999999982
64,0.8,0.3,0.00539999999999996
64,0.8,0.5,0.0027000000000000357
64,0.8,0.7,0.008000000000000007
64,0.8,1.0,0.0029000000000000137
64,0.9,0.1,0.0122000000000001
64,0.9,0.3,0.02650000000000008
64,0.9,0.5,0.025899999999999923
64,0.9,0.7,0.01629999999999998
